data_year,criminal_act_id,offense_id
2024,6,227559703
2024,9,227559763
2024,6,227559736
2024,8,227559737
2024,9,227559800
2024,9,227559845
2024,9,227559730
2024,9,227559997
2024,9,227560022
2024,6,227559750
2024,9,240466246
2024,9,227559889
2024,6,227559915
2024,6,227559962
2024,9,227559984
2024,6,227559788
2024,9,227560045
2024,9,227559792
2024,9,227559883
2024,9,227559958
2024,9,227560014
2024,9,227559867
2024,1,227559924
2024,9,236624679
2024,9,236624719
2024,6,230342897
2024,9,227559835
2024,9,227559954
2024,6,227560037
2024,6,227560095
2024,6,227560072
2024,9,227560122
2024,9,233108456
2024,9,230343074
2024,9,230343185
2024,9,230343235
2024,9,230343234
2024,9,230343101
2024,9,230343128
2024,6,230343167
2024,6,230343168
2024,8,230343122
2024,8,230343123
2024,9,230343194
2024,9,230343230
2024,9,230343254
2024,6,243578327
2024,9,230343302
2024,9,230343357
2024,9,230343421
2024,3,220938384
2024,8,220938414
2024,5,225765873
2024,5,225765963
2024,5,225765787
2024,5,225765841
2024,5,225765879
2024,5,225765880
2024,5,225712335
2024,5,225712359
2024,8,225712332
2024,5,225712393
2024,5,225712368
2024,5,225712395
2024,5,225712396
2024,5,225712427
2024,5,227557883
2024,5,227557941
2024,5,230341370
2024,5,230341142
2024,5,230341021
2024,5,230341083
2024,5,230341075
2024,8,230341192
2024,5,230341193
2024,5,230341078
2024,5,233108743
2024,5,233106936
2024,8,233107094
2024,5,233107149
2024,5,233107011
2024,5,233107153
2024,5,233107137
2024,5,233107186
2024,5,233107051
2024,5,236623335
2024,5,236623289
2024,14,236623387
2024,5,236692672
2024,5,236692596
2024,5,236692630
2024,5,236692616
2024,8,236692663
2024,5,240462569
2024,5,240462627
2024,14,240462697
2024,7,240462584
2024,1,240463032
2024,8,240462650
2024,5,240462797
2024,5,240462731
2024,5,240462783
2024,5,240462820
2024,5,240462861
2024,5,243577706
2024,5,243577461
2024,5,243577577
2024,5,243577510
2024,5,243577511
2024,5,243577512
2024,5,245141628
2024,5,245141606
2024,1,243587024
2024,5,243587201
2024,7,243587349
2024,5,243587400
2024,8,243587360
2024,7,243587395
2024,5,243587618
2024,8,243587644
2024,8,243587668
2024,1,220947721
2024,1,220947722
2024,5,220947741
2024,5,220947774
2024,14,220947826
2024,5,240501003
2024,5,240501526
2024,5,240501625
2024,8,240501491
2024,5,240501529
2024,8,225729132
2024,8,225729133
2024,8,225729213
2024,8,225729114
2024,5,225729449
2024,5,225729370
2024,8,227573098
2024,2,227573254
2024,5,227573405
2024,5,227573520
2024,12,230355986
2024,8,230355959
2024,8,230356164
2024,2,230356028
2024,8,230356102
2024,8,230356103
2024,12,230356399
2024,5,230356229
2024,5,233133593
2024,5,233133594
2024,5,233133539
2024,5,233133502
2024,8,233133488
2024,8,233133489
2024,5,233134090
2024,5,233134091
2024,8,233133776
2024,8,233133668
2024,8,233133572
2024,8,233133847
2024,12,240501224
2024,8,233133693
2024,1,233133784
2024,8,233133854
2024,8,233134155
2024,8,233133940
2024,5,233134110
2024,8,233133985
2024,8,233134021
2024,14,233134242
2024,2,233133995
2024,8,233134227
2024,1,236638341
2024,8,236637903
2024,3,236638426
2024,8,236638070
2024,8,236638203
2024,8,236638216
2024,1,236638252
2024,5,236638257
2024,8,236638329
2024,5,236704517
2024,5,236704518
2024,12,236704819
2024,8,236704755
2024,2,236704833
2024,8,236704866
2024,8,236705261
2024,3,236705069
2024,5,236705091
2024,4,236705057
2024,5,240501348
2024,4,240501322
2024,8,240501944
2024,8,240501425
2024,8,240501435
2024,8,240501434
2024,3,240501418
2024,5,240501460
2024,8,240502058
2024,8,240501492
2024,8,240501535
2024,8,240501660
2024,2,240501751
2024,8,240501787
2024,8,243594832
2024,8,243594838
2024,8,243594961
2024,8,243595039
2024,8,243595010
2024,8,243595088
2024,6,227583886
2024,6,220958367
2024,6,220958562
2024,6,220958563
2024,6,220958564
2024,6,220958454
2024,6,220958581
2024,6,220958583
2024,6,220958544
2024,6,220958545
2024,6,220958578
2024,6,220958579
2024,6,225788598
2024,9,225788676
2024,6,225788653
2024,6,225788654
2024,6,225788729
2024,6,225788730
2024,6,225788812
2024,6,225788875
2024,9,225744580
2024,6,225788925
2024,6,225788879
2024,9,225744968
2024,6,225744967
2024,6,240528596
2024,6,225745215
2024,6,225745216
2024,6,225745145
2024,6,225745146
2024,6,225745236
2024,6,227583950
2024,6,227584019
2024,6,227584020
