county_name,offense_name,offense_count,offense_rank
NEWTON,Destruction/Damage/Vandalism of Property,758,2
NEWTON,All Other Larceny,624,3
NEWTON,Intimidation,494,4
NEWTON,Theft From Motor Vehicle,375,5
"NEWTON, WALTON",Drug/Narcotic Violations,5,1
"NEWTON, WALTON",All Other Larceny,4,2
"NEWTON, WALTON",Theft From Motor Vehicle,3,3
"NEWTON, WALTON",Intimidation,3,4
"NEWTON, WALTON",Simple Assault,3,5
OCONEE,Shoplifting,256,1
OCONEE,All Other Larceny,181,2
OCONEE,Simple Assault,147,3
OCONEE,Drug/Narcotic Violations,90,4
OCONEE,Impersonation,40,5
PAULDING,Simple Assault,1244,1
PAULDING,Destruction/Damage/Vandalism of Property,746,2
PAULDING,All Other Larceny,677,3
PAULDING,Intimidation,504,4
PAULDING,Shoplifting,354,5
"PAULDING, POLK",Intimidation,1,1
PEACH,Theft From Motor Vehicle,45,1
PEACH,All Other Larceny,35,2
PEACH,Simple Assault,27,3
PEACH,Intimidation,18,4
PEACH,Drug/Narcotic Violations,14,5
PICKENS,All Other Larceny,153,1
PICKENS,Simple Assault,100,2
PICKENS,Drug/Narcotic Violations,61,3
PICKENS,Burglary/Breaking & Entering,36,4
PICKENS,Impersonation,26,5
PIERCE,Drug/Narcotic Violations,219,1
PIERCE,Simple Assault,59,2
